mame2003 per-game video output color format
======================================================================

HOW THE FORMAT IS CHOSEN (per loaded game, default options)
----------------------------------------------------------------------
The libretro pixel format is selected once at load from the driver's video
attributes, and the frame is delivered with the fewest copies/conversions:

  VIDEO_RGB_DIRECT + (6BITS_PER_GUN or VECTOR) -> 32bpp -> XRGB8888
      Direct RGB; handed to the frontend as-is. Zero-copy pointer pass
      straight from the game bitmap when the game is not rotated/flipped.
  VIDEO_RGB_DIRECT (no 6BITS, not vector)      -> 15bpp -> RGB565
      0RGB1555 is up-converted to RGB565 with a single shift per pixel
      (RGB565 is the frontend's fast path; 0RGB1555 is not).
  paletted + 6BITS_PER_GUN                      -> 16bpp -> XRGB8888
      Palette index resolved to 32bpp via the game palette.
  paletted (otherwise)                          -> 16bpp -> RGB565
      Palette pre-resolved to an RGB565 table on palette change; the
      per-pixel path is a plain table lookup with no arithmetic.

In every non-bypass case the conversion writes straight into the frontend
framebuffer when GET_CURRENT_SOFTWARE_FRAMEBUFFER grants one, else into an
internal buffer. Rotated/flipped games convert rather than bypass.

Totals: RGB565 3642 (79.4%), XRGB8888 947 (20.6%) of 4589 games.


######################################################################
# RGB565  - paletted 16bpp, palette pre-resolved to 565 (table lookup)   (3641 games)
######################################################################
flipshot       machine=neogeo           RGB565
flkatck        machine=flkatck          RGB565
flower         machine=flower           RGB565
flstory        machine=flstory          RGB565
flstoryj       machine=flstory          RGB565
flyball        machine=flyball          RGB565
flyboy         machine=fastfred         RGB565
flyboyb        machine=fastfred         RGB565
fncywld        machine=fncywld          RGB565
fnkyfish       machine=kangaroo         RGB565
footchmp       machine=footchmp         RGB565
formatz        machine=formatz          RGB565
fpoint         machine=fpoint           RGB565
fpointbj       machine=fpoint           RGB565
fpointbl       machine=fpoint           RGB565
freekckb       machine=freekckb         RGB565
freekick       machine=freekckb         RGB565
freeze         machine=jack             RGB565
frenzy         machine=frenzy           RGB565
friskyt        machine=nvram            RGB565
friskyta       machine=nvram            RGB565
frogg          machine=galaxian         RGB565
frogger        machine=frogger          RGB565
froggers       machine=froggers         RGB565
froggrmc       machine=froggrmc         RGB565
frogs          machine=2ports           RGB565
frogseg1       machine=frogger          RGB565
frogseg2       machine=frogger          RGB565
fromanc2       machine=fromanc2         RGB565
fromanc4       machine=fromanc4         RGB565
fromance       machine=fromance         RGB565
fromancr       machine=fromancr         RGB565
frontlin       machine=mcu              RGB565
fround         machine=fround           RGB565
froundl        machine=fround           RGB565
fshark         machine=twincobr         RGB565
fsharkbt       machine=twincobr         RGB565
fstarfrc       machine=fstarfrc         RGB565
ftimpcta       machine=fx1b             RGB565
ftsoccer       machine=ftsoccer         RGB565
fullthrl       machine=topspeed         RGB565
funkybee       machine=funkybee         RGB565
funkyjet       machine=funkyjet         RGB565
funnymou       machine=suprmous         RGB565
funybubl       machine=funybubl         RGB565
futspy         machine=futspy           RGB565
gaia           machine=gaia             RGB565
gaiden         machine=shadoww          RGB565
gakupara       machine=gakupara         RGB565
gakusai        machine=gakusai          RGB565
gakusai2       machine=gakusai2         RGB565
gal10ren       machine=gal10ren         RGB565
galaga         machine=galaga           RGB565
galaga3        machine=gaplus           RGB565
galaga3a       machine=gaplus           RGB565
galaga3m       machine=gaplus           RGB565
galaga84       machine=galaga           RGB565
galagab2       machine=galaga           RGB565
galagads       machine=galaga           RGB565
galagamw       machine=galaga           RGB565
galap1         machine=galaxian         RGB565
galap4         machine=galaxian         RGB565
galapx         machine=galaxian         RGB565
galaxiaj       machine=galaxian         RGB565
galaxian       machine=galaxian         RGB565
galaxyfg       machine=neogeo           RGB565
galaxygn       machine=galaxygn         RGB565
galhustl       machine=galhustl         RGB565
galivan        machine=galivan          RGB565
galivan2       machine=galivan          RGB565
galkaika       machine=galkaika         RGB565
galkoku        machine=galkoku          RGB565
gallag         machine=galaga           RGB565
gallop         machine=m72              RGB565
galmedes       machine=galmedes         RGB565
galmidw        machine=galaxian         RGB565
galmidwo       machine=galaxian         RGB565
galpani2       machine=galpani2         RGB565
galpani4       machine=skns             RGB565
galpanib       machine=galpanib         RGB565
galpanic       machine=galpanic         RGB565
galpanis       machine=skns             RGB565
galpans2       machine=skns             RGB565
galspnbl       machine=hotpinbl         RGB565
galturbo       machine=galaxian         RGB565
galxwar2       machine=invaders         RGB565
galxwars       machine=invaders         RGB565
galxwart       machine=invaders         RGB565
gangwarb       machine=alpha68k_V       RGB565
gangwars       machine=alpha68k_V       RGB565
ganryu         machine=neogeo           RGB565
gaplus         machine=gaplus           RGB565
gaplusa        machine=gaplusa          RGB565
gapluso        machine=gapluso          RGB565
gardia         machine=brain            RGB565
gardiab        machine=brain            RGB565
garou          machine=neogeo           RGB565
garouo         machine=neogeo           RGB565
garoup         machine=neogeo           RGB565
garuka         machine=devstors         RGB565
garyoret       machine=garyoret         RGB565
gatsbee        machine=galaga           RGB565
gberet         machine=gberet           RGB565
gberetb        machine=gberetb          RGB565
gbusters       machine=gbusters         RGB565
gcpinbal       machine=gcpinbal         RGB565
gdarius        machine=fx1b             RGB565
gdarius2       machine=fx1b             RGB565
geebee         machine=geebee           RGB565
geebeeg        machine=geebee           RGB565
gekiretu       machine=gekiretu         RGB565
gemini         machine=gemini           RGB565
genix          machine=pirates          RGB565
genpeitd       machine=genpeitd         RGB565
gensitou       machine=prehisle         RGB565
geostorm       machine=raster           RGB565
getstar        machine=slapfigh         RGB565
getstarb       machine=slapfigh         RGB565
getstarj       machine=slapfigh         RGB565
gfire2         machine=gfire2           RGB565
gghost         machine=balsente         RGB565
gground        machine=system24         RGB565
ghostb         machine=ghostb           RGB565
ghostb3        machine=ghostb           RGB565
ghox           machine=ghox             RGB565
ghunter        machine=deadang          RGB565
gigandes       machine=gigandes         RGB565
gigasb         machine=gigas            RGB565
gigasm2b       machine=gigas            RGB565
gimeabrk       machine=balsente         RGB565
ginganin       machine=ginganin         RGB565
ginkun         machine=ginkun           RGB565
gionbana       machine=gionbana         RGB565
gladiatr       machine=gladiatr         RGB565
glass          machine=glass            RGB565
glfgreat       machine=glfgreat         RGB565
glfgretj       machine=glfgreat         RGB565
glprac2j       machine=zn               RGB565
glprac2l       machine=znlink           RGB565
glpracr        machine=zn               RGB565
glpracr2       machine=zn               RGB565
gmgalax        machine=gmgalax          RGB565
gmissile       machine=m4               RGB565
gng            machine=gng              RGB565
gnga           machine=gng              RGB565
gngt           machine=gng              RGB565
goal92         machine=goal92           RGB565
goalx3         machine=neogeo           RGB565
godzilla       machine=godzilla         RGB565
gogomile       machine=fuuki16          RGB565
gogomilj       machine=fuuki16          RGB565
goindol        machine=goindol          RGB565
goindolj       machine=goindol          RGB565
goindolu       machine=goindol          RGB565
goldbug        machine=cvs              RGB565
goldmedb       machine=alpha68k_II_gm   RGB565
goldmedl       machine=alpha68k_II_gm   RGB565
goldnabl       machine=goldnaxe         RGB565
goldnaxa       machine=goldnaxa         RGB565
goldnaxb       machine=goldnaxa         RGB565
goldnaxc       machine=goldnaxa         RGB565
goldnaxe       machine=goldnaxe         RGB565
goldnaxj       machine=goldnaxe         RGB565
golgo13        machine=coh700           RGB565
gomoku         machine=gomoku           RGB565
gondo          machine=gondo            RGB565
goonies        machine=vsnes            RGB565
gorf           machine=gorf             RGB565
gorfpgm1       machine=gorf             RGB565
gorkans        machine=pacman           RGB565
gotcha         machine=gotcha           RGB565
gotya          machine=gotya            RGB565
gowcaizr       machine=neogeo           RGB565
gpilots        machine=neogeo           RGB565
gradius        machine=gx400            RGB565
gradius2       machine=twin16           RGB565
gradius3       machine=gradius3         RGB565
grchamp        machine=grchamp          RGB565
grdians        machine=grdians          RGB565
grdius2a       machine=twin16           RGB565
grdius2b       machine=twin16           RGB565
grdius3a       machine=gradius3         RGB565
grdius3e       machine=gradius3         RGB565
grdnstrm       machine=grdnstrm         RGB565
greatgun       machine=greatgun         RGB565
greenber       machine=greenberet       RGB565
grescue        machine=invadpt2         RGB565
gridiron       machine=gridiron         RGB565
gridlee        machine=gridlee          RGB565
grindsta       machine=vfive            RGB565
grindstm       machine=vfive            RGB565
grndtour       machine=iqblock          RGB565
grobda         machine=grobda           RGB565
grobda2        machine=grobda           RGB565
grobda3        machine=grobda           RGB565
growl          machine=growl            RGB565
growlu         machine=growl            RGB565
grtwall        machine=grtwall          RGB565
grudge         machine=balsente         RGB565
gryzor         machine=contra           RGB565
gslgr94u       machine=namconb1         RGB565
gstrik2        machine=gstrik2          RGB565
gstriker       machine=gstriker         RGB565
gsword         machine=gsword           RGB565
gteikob2       machine=gteikob2         RGB565
gteikokb       machine=pisces           RGB565
gteikoku       machine=pisces           RGB565
gtg            machine=tmshi2203        RGB565
gtg2           machine=gtg2             RGB565
gtg2j          machine=tmslo2203        RGB565
gtg2t          machine=tmshi2203        RGB565
gtmr           machine=gtmr             RGB565
gtmr2          machine=gtmr2            RGB565
gtmre          machine=gtmr             RGB565
gtmrusa        machine=gtmr             RGB565
guiness        machine=strnskil         RGB565
gulfstr2       machine=gulfstrm         RGB565
gulfstrm       machine=gulfstrm         RGB565
gulfwar2       machine=twincobr         RGB565
gumbo          machine=gumbo            RGB565
gunbird        machine=gunbird          RGB565
gunbirdj       machine=gunbird          RGB565
gunbirdk       machine=gunbird          RGB565
gunbulet       machine=namconb1         RGB565
gundamex       machine=gundamex         RGB565
gundeala       machine=gundealr         RGB565
gundealr       machine=gundealr         RGB565
gundealt       machine=gundealr         RGB565
gundhara       machine=gundhara         RGB565
gundl94        machine=primella         RGB565
gunfight       machine=gunfight         RGB565
gunforc2       machine=raster           RGB565
gunforce       machine=raster           RGB565
gunforcj       machine=raster           RGB565
gunforcu       machine=raster           RGB565
gunfronj       machine=gunfront         RGB565
gunfront       machine=gunfront         RGB565
gunhohki       machine=nonraster        RGB565
gunnail        machine=gunnail          RGB565
gunsmoka       machine=gunsmoke         RGB565
gunsmoke       machine=gunsmoke         RGB565
gunsmokj       machine=gunsmoke         RGB565
gunsmoku       machine=gunsmoke         RGB565
gururin        machine=neogeo           RGB565
gussun         machine=m90              RGB565
gutangtn       machine=locomotn         RGB565
gutsn          machine=skns             RGB565
guwange        machine=guwange          RGB565
guzzler        machine=swimmer          RGB565
gwar           machine=gwar             RGB565
gwara          machine=gwar             RGB565
gwarb          machine=gwar             RGB565
gwarj          machine=gwar             RGB565
gwarrior       machine=gx400            RGB565
gypsyjug       machine=meadows          RGB565
gyrodine       machine=gyrodine         RGB565
gyruss         machine=gyruss           RGB565
gyrussce       machine=gyruss           RGB565
hachamf        machine=hachamf          RGB565
hachoo         machine=system_A         RGB565
hal21          machine=hal21            RGB565
hal21j         machine=hal21            RGB565
halleycj       machine=halleys          RGB565
halleys        machine=halleys          RGB565
halleysc       machine=halleys          RGB565
hanaawas       machine=hanaawas         RGB565
hanakanz       machine=rongrong         RGB565
hanamai        machine=hanamai          RGB565
hanamomo       machine=hanamomo         RGB565
hanaoji        machine=hanaoji          RGB565
hanaroku       machine=hanaroku         RGB565
hangly         machine=pacman           RGB565
hangly2        machine=pacman           RGB565
hangly3        machine=pacman           RGB565
hangon         machine=hangon           RGB565
hangonjr       machine=segae            RGB565
hardhat        machine=pepper2          RGB565
hardhea2       machine=hardhea2         RGB565
hardhead       machine=hardhead         RGB565
hardhedb       machine=hardhead         RGB565
hardyard       machine=bloodstm         RGB565
hardyd10       machine=bloodstm         RGB565
hasamu         machine=m90              RGB565
hatena         machine=pang             RGB565
hatris         machine=hatris           RGB565
hattrick       machine=balsente         RGB565
hcastle        machine=hcastle          RGB565
hcastlej       machine=hcastle          RGB565
hcastleo       machine=hcastle          RGB565
hcastljo       machine=hcastle          RGB565
headon         machine=2ports           RGB565
headon2        machine=3ports           RGB565
headonb        machine=2ports           RGB565
heartatk       machine=cvs              RGB565
heatbrl        machine=heatbrl          RGB565
heatbrlo       machine=heatbrl          RGB565
heatbrlu       machine=heatbrl          RGB565
heberpop       machine=heberpop         RGB565
hedpanic       machine=hedpanic         RGB565
heiankyo       machine=4ports           RGB565
helifira       machine=helifire         RGB565
helifire       machine=helifire         RGB565
hellfir1       machine=hellfire         RGB565
hellfire       machine=hellfire         RGB565
herbiedk       machine=herbiedk         RGB565
hero           machine=cvs              RGB565
herodk         machine=hunchbkd         RGB565
herodku        machine=hunchbkd         RGB565
hexa           machine=hexa             RGB565
hexion         machine=hexion           RGB565
hharry         machine=hharry           RGB565
hharryu        machine=hharryu          RGB565
hidnctch       machine=vamphalf         RGB565
higemaru       machine=higemaru         RGB565
hiryuken       machine=shangkid         RGB565
hishouza       machine=twincobr         RGB565
histryma       machine=fitfight         RGB565
hitice         machine=hitice           RGB565
hitme          machine=hitme            RGB565
hitnmis2       machine=exidy440         RGB565
hitnmiss       machine=exidy440         RGB565
hnayayoi       machine=hnayayoi         RGB565
hnfubuki       machine=hnfubuki         RGB565
hnkochou       machine=hanamai          RGB565
hnoridur       machine=hnoridur         RGB565
hoccer         machine=hoccer           RGB565
hoccer2        machine=hoccer           RGB565
hogalley       machine=vsnes            RGB565
holeland       machine=holeland         RGB565
homerun        machine=homerun          RGB565
homo           machine=goindol          RGB565
hook           machine=nonraster        RGB565
hooku          machine=nonraster        RGB565
hopmappy       machine=hopmappy         RGB565
hopprobo       machine=hopprobo         RGB565
horekid        machine=amazon           RGB565
horekidb       machine=amazon           RGB565
horizon        machine=horizon          RGB565
horshoes       machine=horshoes         RGB565
hotchase       machine=hotchase         RGB565
hotdogst       machine=hotdogst         RGB565
hotpinbl       machine=hotpinbl         RGB565
hotrod         machine=system24         RGB565
hotshock       machine=hotshock         RGB565
hotsmash       machine=pbillian         RGB565
hourouki       machine=mrokumei         RGB565
hpolym84       machine=hyperspt         RGB565
hpuncher       machine=hpuncher         RGB565
hstenn10       machine=hstennis         RGB565
hstennis       machine=hstennis         RGB565
htchctch       machine=htchctch         RGB565
hthero         machine=hthero           RGB565
hunchbak       machine=cvs              RGB565
hunchbkd       machine=hunchbkd         RGB565
hunchbks       machine=hunchbks         RGB565
huncholy       machine=cvs              RGB565
hustle         machine=hustle           RGB565
hustler        machine=hustler          RGB565
hustlerb       machine=hustlerb         RGB565
hvoltage       machine=splndrbt         RGB565
hvymetal       machine=hvymetal         RGB565
hwchamp        machine=hwchamp          RGB565
hwrace         machine=nomcu            RGB565
hyouban        machine=hyouban          RGB565
hyperpac       machine=hyperpac         RGB565
hyperpcb       machine=hyperpac         RGB565
hyperspt       machine=hyperspt         RGB565
hyprdelj       machine=hyprduel         RGB565
hyprduel       machine=hyprduel         RGB565
hyprolyb       machine=hyprolyb         RGB565
hyprolym       machine=trackfld         RGB565
hypsptsp       machine=88games          RGB565
iceclimb       machine=vsnes            RGB565
iceclmbj       machine=vsnes            RGB565
iceclmrj       machine=vsdual           RGB565
ichidant       machine=segac2           RGB565
ichidntb       machine=segac            RGB565
ichidnte       machine=segac2           RGB565
idhimitu       machine=mbmj_p12bit      RGB565
idolmj         machine=idolmj           RGB565
idsoccer       machine=idsoccer         RGB565
iganinju       machine=system_A_iganinju RGB565
igmo           machine=epos             RGB565
ikari          machine=ikari            RGB565
ikari3         machine=ikari3           RGB565
ikarijp        machine=ikari            RGB565
ikarijpb       machine=ikari            RGB565
ikki           machine=ikki             RGB565
imago          machine=imago            RGB565
imekura        machine=imekura          RGB565
imgfight       machine=m72              RGB565
imsorry        machine=system1          RGB565
imsorryj       machine=system1          RGB565
indyheat       machine=wsf              RGB565
insector       machine=gottlieb         RGB565
insectx        machine=insectx          RGB565
inthunt        machine=raster           RGB565
inthuntu       machine=raster           RGB565
intrepi2       machine=intrepid         RGB565
intrepid       machine=intrepid         RGB565
inufuku        machine=inufuku          RGB565
invad2ct       machine=invad2ct         RGB565
invaddlx       machine=invaders         RGB565
invaderl       machine=invaders         RGB565
invaders       machine=invaders         RGB565
invadpt2       machine=invadpt2         RGB565
invds          machine=invinco4         RGB565
invho2         machine=invinco4         RGB565
invinco        machine=invinco3         RGB565
invrvnga       machine=invrvnge         RGB565
invrvnge       machine=invrvnge         RGB565
ipminvad       machine=skychut          RGB565
iqblock        machine=iqblock          RGB565
irobot         machine=irobot           RGB565
ironhors       machine=ironhors         RGB565
irrmaze        machine=neogeo           RGB565
ixion          machine=ixion            RGB565
jack           machine=jack             RGB565
jack2          machine=jack             RGB565
jack3          machine=jack             RGB565
jackal         machine=jackal           RGB565
jackalj        machine=jackal           RGB565
jackrab2       machine=zaccaria         RGB565
jackrabs       machine=zaccaria         RGB565
jackrabt       machine=zaccaria         RGB565
jailbrek       machine=jailbrek         RGB565
jajamaru       machine=vsnes            RGB565
janshin        machine=neogeo           RGB565
jchan          machine=jchan            RGB565
jcross         machine=jcross           RGB565
jdredd         machine=zn               RGB565
jdreddb        machine=zn               RGB565
jdreddp        machine=tunit_adpcm      RGB565
jedi           machine=jedi             RGB565
jgakuen        machine=znqsound         RGB565
jigkmgri       machine=bonzeadv         RGB565
jitsupro       machine=system_A         RGB565
jjack          machine=dorunrun         RGB565
jjparad2       machine=skns             RGB565
jjparads       machine=skns             RGB565
jjsquawk       machine=jjsquawk         RGB565
jogakuen       machine=pteacher         RGB565
josvolly       machine=josvolly         RGB565
journey        machine=journey          RGB565
joyfulr        machine=munchmo          RGB565
joyjoy         machine=neogeo           RGB565
joyman         machine=pacman           RGB565
jrpacman       machine=jrpacman         RGB565
jspecter       machine=invaders         RGB565
jspectr2       machine=invaders         RGB565
jumpbug        machine=jumpbug          RGB565
jumpbugb       machine=jumpbug          RGB565
jumpcoas       machine=jumpcoas         RGB565
jumping        machine=jumping          RGB565
jumpkids       machine=jumpkids         RGB565
jumpshot       machine=pacman           RGB565
jungleh        machine=nomcu            RGB565
junglek        machine=nomcu            RGB565
jungler        machine=jungler          RGB565
junglers       machine=jungler          RGB565
junglhbr       machine=nomcu            RGB565
junglkj2       machine=nomcu            RGB565
junofrst       machine=junofrst         RGB565
junofstg       machine=junofrst         RGB565
jyuohki        machine=altbeast         RGB565
kabukikl       machine=neogeo           RGB565
kageki         machine=kageki           RGB565
kagekij        machine=kageki           RGB565
kaguya         machine=mbmj_p12bit      RGB565
kaitei         machine=kaitei           RGB565
kaiteids       machine=raster           RGB565
kaitein        machine=kaitei           RGB565
kakumei        machine=jalmah           RGB565
kakumei2       machine=jalmah           RGB565
kamenrid       machine=kamenrid         RGB565
kamikaze       machine=astinvad         RGB565
kamikcab       machine=boomrang         RGB565
kanatuen       machine=mbmj_p12bit      RGB565
kangaroa       machine=kangaroo         RGB565
kangarob       machine=kangaroo         RGB565
kangaroo       machine=kangaroo         RGB565
kaos           machine=gameplan         RGB565
karatblu       machine=karatblz         RGB565
karatblz       machine=karatblz         RGB565
karatedo       machine=kchamp           RGB565
karatevs       machine=kchampvs         RGB565
karatour       machine=karatour         RGB565
karianx        machine=deniam16b        RGB565
karnov         machine=karnov           RGB565
karnovj        machine=karnov           RGB565
karnovr        machine=neogeo           RGB565
kbash          machine=kbash            RGB565
kchamp         machine=kchamp           RGB565
kchampvs       machine=kchampvs         RGB565
kengo          machine=kengo            RGB565
kick           machine=mcr1             RGB565
kicka          machine=mcr1             RGB565
kicker         machine=shaolins         RGB565
kickgoal       machine=kickgoal         RGB565
kicknrun       machine=mexico86         RGB565
kickoff        machine=system_A         RGB565
kickridr       machine=dorunrun         RGB565
kidniki        machine=kidniki          RGB565
kikaioh        machine=znqsound         RGB565
kikcubic       machine=kikcubic         RGB565
kikikai        machine=kikikai          RGB565
kikstart       machine=kikstart         RGB565
killcom        machine=gameplan         RGB565
kingbalj       machine=kingball         RGB565
kingball       machine=kingball         RGB565
kingdmgp       machine=shippumd         RGB565
kingofb        machine=kingofb          RGB565
kinst          machine=kinst            RGB565
kinst2         machine=kinst            RGB565
kittenk        machine=nyanpani         RGB565
kiwame         machine=kiwame           RGB565
kizuna         machine=neogeo           RGB565
knckhead       machine=namcona1         RGB565
knckhedj       machine=namcona1         RGB565
kncljoe        machine=kncljoe          RGB565
kncljoea       machine=kncljoe          RGB565
knockout       machine=triplep          RGB565
kodure         machine=kodure           RGB565
kof2000        machine=neogeo           RGB565
kof2000n       machine=neogeo           RGB565
kof94          machine=neogeo           RGB565
kof95          machine=neogeo           RGB565
kof95a         machine=neogeo           RGB565
kof96          machine=neogeo           RGB565
kof96h         machine=neogeo           RGB565
kof97          machine=neogeo           RGB565
kof97a         machine=neogeo           RGB565
kof98          machine=neogeo           RGB565
kof98n         machine=neogeo           RGB565
kof99          machine=neogeo           RGB565
kof99a         machine=neogeo           RGB565
kof99e         machine=neogeo           RGB565
kof99n         machine=neogeo           RGB565
kof99p         machine=neogeo           RGB565
koinomp        machine=koinomp          RGB565
konami88       machine=88games          RGB565
konamigt       machine=konamigt         RGB565
kopunch        machine=kopunch          RGB565
korosuke       machine=pacman           RGB565
koshien        machine=koshien          RGB565
kotm           machine=neogeo           RGB565
kotm2          machine=neogeo           RGB565
kotmh          machine=neogeo           RGB565
kouyakyu       machine=equites          RGB565
kov            machine=pgm              RGB565
kov115         machine=pgm              RGB565
kovplus        machine=pgm              RGB565
kovsh          machine=pgm              RGB565
kram           machine=mcu              RGB565
kram2          machine=mcu              RGB565
kram3          machine=qix              RGB565
kroozr         machine=mcr2             RGB565
krull          machine=krull            RGB565
krzybowl       machine=krzybowl         RGB565
ktiger         machine=twincobr         RGB565
kungfub        machine=kungfum          RGB565
kungfub2       machine=kungfum          RGB565
kungfud        machine=kungfum          RGB565
kungfum        machine=kungfum          RGB565
kungfut        machine=kungfut          RGB565
kuniokub       machine=renegade         RGB565
kuniokun       machine=renegade         RGB565
kurikina       machine=kurikina         RGB565
kurikinj       machine=kurikint         RGB565
kurikint       machine=kurikint         RGB565
kurikinu       machine=kurikint         RGB565
kyros          machine=kyros            RGB565
kyrosj         machine=kyros            RGB565
kyustrkr       machine=ballbros         RGB565
labyrunk       machine=labyrunr         RGB565
labyrunr       machine=labyrunr         RGB565
ladybug        machine=ladybug          RGB565
ladybugb       machine=ladybug          RGB565
ladybugg       machine=batman2          RGB565
ladyfrog       machine=ladyfrog         RGB565
ladygolf       machine=vsnes            RGB565
ladykill       machine=karatour         RGB565
lagunar        machine=280zzzap         RGB565
landbrk        machine=vamphalf         RGB565
laser          machine=invaders         RGB565
lasso          machine=lasso            RGB565
lastblad       machine=neogeo           RGB565
lastbld2       machine=neogeo           RGB565
lastblda       machine=neogeo           RGB565
lastday        machine=lastday          RGB565
lastdaya       machine=lastday          RGB565
lastfero       machine=lastfort         RGB565
lastfort       machine=lastfort         RGB565
lastmisn       machine=lastmiss         RGB565
lastmsnj       machine=lastmiss         RGB565
lastmsno       machine=lastmiss         RGB565
lazercmd       machine=lazercmd         RGB565
lbowling       machine=neogeo           RGB565
ldrun          machine=ldrun            RGB565
ldrun2         machine=ldrun2           RGB565
ldrun3         machine=ldrun3           RGB565
ldrun3jp       machine=ldrun3           RGB565
ldrun4         machine=ldrun4           RGB565
ldruna         machine=ldrun            RGB565
leaguemn       machine=raster           RGB565
legend         machine=legend           RGB565
legendos       machine=neogeo           RGB565
legion         machine=cclimbr2         RGB565
legionna       machine=legionna         RGB565
legionnu       machine=legionna         RGB565
legiono        machine=cclimbr2         RGB565
legofair       machine=chopper1         RGB565
lemnangl       machine=lemnangl         RGB565
leprechn       machine=leprechn         RGB565
lethalj        machine=lethalj          RGB565
lethalth       machine=lethalth         RGB565
levers         machine=jumpbug          RGB565
lghost         machine=shdancer         RGB565
lgtnfght       machine=lgtnfght         RGB565
liberat2       machine=liberat2         RGB565
liberatb       machine=liberatb         RGB565
liberate       machine=liberate         RGB565
liberatr       machine=liberatr         RGB565
liblrabl       machine=toypop           RGB565
lifefrce       machine=salamand         RGB565
lifefrcj       machine=salamand         RGB565
liquidk        machine=liquidk          RGB565
liquidku       machine=liquidk          RGB565
lizwiz         machine=pacman           RGB565
lkage          machine=lkage            RGB565
lkageb         machine=lkageb           RGB565
lkageb2        machine=lkageb           RGB565
lkageb3        machine=lkageb           RGB565
lnc            machine=lnc              RGB565
locomotn       machine=locomotn         RGB565
loffire        machine=aburner          RGB565
logger         machine=cvs              RGB565
logicpr2       machine=deniam16c        RGB565
logicpro       machine=deniam16b        RGB565
loht           machine=m72              RGB565
lomakai        machine=system_Z         RGB565
looper         machine=changes          RGB565
looping        machine=looping          RGB565
loopinga       machine=looping          RGB565
lordofk        machine=system_A         RGB565
losttmbh       machine=type1            RGB565
losttomb       machine=type1            RGB565
lotlot         machine=lotlot           RGB565
lottofun       machine=williams         RGB565
lrescue        machine=invadpt2         RGB565
lresort        machine=neogeo           RGB565
lsasquad       machine=lsasquad         RGB565
ltcasin2       machine=ltcasino         RGB565
ltcasino       machine=ltcasino         RGB565
lupin3         machine=lupin3           RGB565
lvgirl94       machine=zerozone         RGB565
lwings         machine=lwings           RGB565
lwings2        machine=lwings           RGB565
lwingsjp       machine=lwings           RGB565
m4             machine=m4               RGB565
m660           machine=m660             RGB565
m660b          machine=m660             RGB565
m660j          machine=m660             RGB565
m79amb         machine=m79amb           RGB565
mace           machine=seattle200       RGB565
mach3          machine=mach3            RGB565
machbrkr       machine=namconb2         RGB565
machomou       machine=suprmous         RGB565
machridj       machine=vsnes            RGB565
machridr       machine=vsnes            RGB565
macross        machine=macross          RGB565
macross2       machine=macross2         RGB565
madcrash       machine=madcrash         RGB565
maddonna       machine=maddonna         RGB565
maddonnb       machine=maddonna         RGB565
madmotor       machine=madmotor         RGB565
madshark       machine=madshark         RGB565
magdrop2       machine=neogeo           RGB565
magdrop3       machine=neogeo           RGB565
magicbub       machine=magicbub         RGB565
magix          machine=yunsung8         RGB565
maglord        machine=neogeo           RGB565
maglordh       machine=neogeo           RGB565
magmax         machine=magmax           RGB565
magspot        machine=magspot2         RGB565
magspot2       machine=magspot2         RGB565
magworm        machine=magworm          RGB565
mahmajn        machine=system24         RGB565
mahmajn2       machine=system24         RGB565
mahoudai       machine=mahoudai         RGB565
mahretsu       machine=neogeo           RGB565
maiko          machine=maiko            RGB565
mainev2p       machine=mainevt          RGB565
mainevt        machine=mainevt          RGB565
mainevto       machine=mainevt          RGB565
mainsnk        machine=mainsnk          RGB565
majest12       machine=ssi              RGB565
majs101b       machine=majs101b         RGB565
majtitl2       machine=raster           RGB565
majtitle       machine=majtitle         RGB565
majuu          machine=heavysync        RGB565
makaiden       machine=system_Z         RGB565
makaimuc       machine=gng              RGB565
makaimug       machine=gng              RGB565
makaimur       machine=gng              RGB565
maketrax       machine=pacman           RGB565
maketrxb       machine=pacman           RGB565
makyosen       machine=gondo            RGB565
malzak         machine=malzak           RGB565
manhatan       machine=jailbrek         RGB565
maniach        machine=maniach          RGB565
maniach2       machine=maniach          RGB565
maniacsp       machine=maniacsq         RGB565
maniacsq       machine=maniacsq         RGB565
manybloc       machine=manybloc         RGB565
mappy          machine=mappy            RGB565
mappyj         machine=mappy            RGB565
marineb        machine=marineb          RGB565
marinedt       machine=marinedt         RGB565
mariner        machine=mariner          RGB565
mario          machine=mario            RGB565
mariojp        machine=mario            RGB565
markham        machine=markham          RGB565
mars           machine=mars             RGB565
marukin        machine=marukin          RGB565
marukodq       machine=neogeo           RGB565
marvins        machine=marvins          RGB565
masao          machine=masao            RGB565
masterw        machine=masterw          RGB565
mastkin        machine=mastkin          RGB565
matchit        machine=shisen           RGB565
matmania       machine=matmania         RGB565
maxf_102       machine=r3knarrow        RGB565
maxforce       machine=r3knarrow        RGB565
maxrpm         machine=mono_tcs         RGB565
maya           machine=sprtmtch         RGB565
mayday         machine=defender         RGB565
maydaya        machine=defender         RGB565
maydayb        machine=defender         RGB565
mayhem         machine=leland           RGB565
mayumi         machine=mayumi           RGB565
maze           machine=8080bw           RGB565
mazerbla       machine=mazerbla         RGB565
mazinger       machine=mazinger         RGB565
mblkjack       machine=hitme            RGB565
mbrush         machine=pacman           RGB565
