mame2003 per-game audio class list
======================================================================

WHAT THE CLASSES MEAN
----------------------------------------------------------------------
Class 1 (no resampling): every sound source in the game synthesizes audio
  directly at the core's chosen output rate. The mixer is a 1:1 copy; there
  is no rate conversion inside the core. (AY8910, SN76496, YM2203, YM2612,
  OKIM6295, DAC, MSM5205/ADPCM, qsound, SEGAPCM, K-series PCM, POKEY, etc.)

Class 2 (resampling needed): the sound source runs at a fixed clock-derived
  rate that is NOT the output rate, so the mixer must resample it. (YM2151,
  YM3812/YM3526/Y8950, YMF262, YM2413, YM2608, YM2610/B, NAMCO wavetable,
  C140, VLM5030, SP0250, SCSP, GAELCO.)

Per game we bucket as:
  NONE   - 0 class-2 sources              -> already no core resampling
stridrua       machine=cps1             YM2151
supbtime       machine=supbtime         YM2151
supbtimj       machine=supbtime         YM2151
superpac       machine=superpac         NAMCO
superpcm       machine=superpac         NAMCO
superx         machine=superx           YM2151
superxm        machine=superx           YM2151
suprleag       machine=s16dummy         YM2151
surpratk       machine=surpratk         YM2151
svolley        machine=rpunch           YM2151
svolleyk       machine=rpunch           YM2151
svolleyu       machine=rpunch           YM2151
swcourt        machine=namcona1w        NAMCONA
tbowl          machine=tbowl            YM3812
tbowlj         machine=tbowl            YM3812
tekipaki       machine=tekipaki         YM3812
telmahjn       machine=telmahjn         YM3812
terracrb       machine=ym3526           YM3526
terracre       machine=ym3526           YM3526
terraf         machine=terraf           YM3812
terrafu        machine=terraf           YM3812
tetris         machine=tetris           YM2151
tetrisa        machine=tetris           YM2151
tetrisbl       machine=tetris           YM2151
theglobp       machine=theglobp         NAMCO
thehustj       machine=battlnts         YM3812
thehustl       machine=battlnts         YM3812
thndblst       machine=lethalth         YM2151
thnderxj       machine=thunderx         YM2151
thndrbdj       machine=aburner          YM2151
thndrbld       machine=aburner          YM2151
thndrx2        machine=thndrx2          YM2151
thndrx2a       machine=thndrx2          YM2151
thndzone       machine=dassault         YM2151
thunderx       machine=thunderx         YM2151
timesol1       machine=alpha68k_II      YM2413
timesold       machine=alpha68k_II      YM2413
timscanr       machine=timscanr         YM2151
tinklpit       machine=namcona1w        NAMCONA
tkdensho       machine=deroon           YMF262
tmnt2          machine=tmnt2            YM2151
tmnt22p        machine=tmnt2            YM2151
tmnt2a         machine=tmnt2            YM2151
tndrcade       machine=tndrcade         YM3812
tndrcadj       machine=tndrcade         YM3812
tnexspce       machine=tnexspce         YM3812
tnk3           machine=tnk3             YM3526
tnk3j          machine=tnk3             YM3526
todruaga       machine=todruaga         NAMCO
todruago       machine=todruaga         NAMCO
toffy          machine=toffy            YM2151
tokib          machine=tokib            YM3812
tokimbsj       machine=tokimbsj         YM3812
tokyogal       machine=tokyogal         YM3812
topgunbl       machine=jackal           YM2151
topgunr        machine=jackal           YM2151
topsecrt       machine=bionicc          YM2151
topspedu       machine=topspeed         YM2151
topspeed       machine=topspeed         YM2151
toryumon       machine=toryumon         YM2151
touchgo        machine=touchgo          GAELCO_GAE1
toutrun        machine=outrun           YM2151
toutruna       machine=outrun           YM2151
toypop         machine=toypop           NAMCO
trackflc       machine=trackfld         VLM5030
trackfld       machine=trackfld         VLM5030
trckydoc       machine=trckydoc         YM3812
trigon         machine=lgtnfght         YM2151
triothep       machine=triothep         YM3812
triplew1       machine=triplew1         YM3812
triplew2       machine=triplew2         YM3812
truxton        machine=truxton          YM3812
truxton2       machine=truxton2         YM2151
tshingen       machine=system_A         YM2151
tshingna       machine=system_A         YM2151
tstrike        machine=darktowr         YM2151
tturf          machine=tturf            YM2151
tturfbl        machine=tturfbl          YM2151
tturfu         machine=tturfu           YM2151
tumblep        machine=tumblep          YM2151
tumblepj       machine=tumblep          YM2151
twinbee        machine=gx400            VLM5030
twincobr       machine=twincobr         YM3812
twincobu       machine=twincobr         YM3812
twinhawk       machine=daisenpu         YM2151
twinhwku       machine=daisenpu         YM2151
twocrude       machine=twocrude         YM2151
typhoon        machine=ajax             YM2151
uballoon       machine=uballoon         YM2151
uccops         machine=raster           YM2151
uccopsj        machine=raster           YM2151
uchuuai        machine=uchuuai          YM3812
ultraman       machine=ultraman         YM2151
ultramhm       machine=ultramhm         YM3812
unsquad        machine=cps1             YM2151
vangrd2        machine=vangrd2          NAMCO
vanilla        machine=vanilla          YM3812
vanvan         machine=vanvan           NAMCO
vanvank        machine=vanvan           NAMCO
vaportra       machine=vaportra         YM2151
vaportru       machine=vaportra         YM2151
varth          machine=cps1             YM2151
varthj         machine=cps1             YM2151
varthu         machine=cps1             YM2151
vball          machine=vball            YM2151
vball2pj       machine=vball2pj         YM2151
vendet2p       machine=vendetta         YM2151
vendetao       machine=vendetta         YM2151
vendetas       machine=vendetta         YM2151
vendetta       machine=vendetta         YM2151
vendettj       machine=vendetta         YM2151
vendtaso       machine=vendetta         YM2151
vfive          machine=vfive            YM2151
vigilant       machine=vigilant         YM2151
vigilntj       machine=vigilant         YM2151
vigilntu       machine=vigilant         YM2151
vimana         machine=vimana           YM3812
vimana1        machine=vimana           YM3812
vimanan        machine=vimana           YM3812
vindc2r1       machine=gauntlet         YM2151
vindc2r2       machine=gauntlet         YM2151
vindctr2       machine=gauntlet         YM2151
vulcan         machine=twin16           YM2151
wardner        machine=wardner          YM3812
wardnerj       machine=wardner          YM3812
wb3            machine=wb3              YM2151
wb3a           machine=wb3              YM2151
wb3bl          machine=wb3bl            YM2151
wecleman       machine=wecleman         YM2151
wexpresb       machine=exprraid         YM3526
wexpresc       machine=exprraid         YM3526
wexpress       machine=exprraid         YM3526
whizquiz       machine=trackfld         VLM5030
whoopee        machine=whoopee          YM3812
willow         machine=cps1             YM2151
willowj        machine=cps1             YM2151
willowje       machine=cps1             YM2151
wintbob        machine=wintbob          YM3812
wizdfire       machine=wizdfire         YM2151
wndrplnt       machine=wndrplnt         YM3526
wof            machine=qsound           YM2151
wofa           machine=qsound           YM2151
wofj           machine=qsound           YM2151
wofu           machine=qsound           YM2151
wonder3        machine=cps1             YM2151
wpksoc         machine=firebarr         YM2151
wrally2        machine=wrally2          GAELCO_GAE1
wrestwar       machine=wrestwar         YM2151
wwfsstar       machine=wwfsstar         YM2151
wwfwfest       machine=wwfwfest         YM2151
wwfwfsta       machine=wwfwfest         YM2151
wwfwfstj       machine=wwfwfest         YM2151
xday2          machine=namcona1         NAMCONA
xexex          machine=xexex            YM2151
xexexj         machine=xexex            YM2151
xmen           machine=xmen             YM2151
xmen2p         machine=xmen             YM2151
xmen2pj        machine=xmen             YM2151
xmen6p         machine=xmen             YM2151
xmultipl       machine=xmultipl         YM2151
yarunara       machine=yarunara         YM2413
yiear          machine=yiear            VLM5030
yiear2         machine=yiear            VLM5030
youma          machine=ninjemak         YM3526
zeropnt        machine=zeropnt          YM3812
zeropnt2       machine=zeropnt2         YM2151
zeropnta       machine=zeropnt          YM3812
zerowing       machine=zerowing         YM3812

######################################################################
# NONE - already resample-free (class-1 only)   (2809 games)
######################################################################
1942           machine=1942             
1942a          machine=1942             
1942b          machine=1942             
1943           machine=1943             
1943j          machine=1943             
1943kai        machine=1943             
1944           machine=cps2             
1944j          machine=cps2             
19xx           machine=cps2             
19xxa          machine=cps2             
19xxh          machine=cps2             
19xxj          machine=cps2             
19xxjr1        machine=cps2             
2020bb         machine=neogeo           
2020bbh        machine=neogeo           
280zzzap       machine=280zzzap         
3countb        machine=neogeo           
3kokushi       machine=3kokushi         
3stooges       machine=stooges          
40love         machine=40love           
47pie2         machine=ms32             
47pie2o        machine=ms32             
4dwarrio       machine=system1          
4enraya        machine=4enraya          
600            machine=amidar           
800fath        machine=mariner          
8ball          machine=cvs              
8ball1         machine=cvs              
8ballact       machine=eightact         
8ballat2       machine=eightact         
99lstwar       machine=sonofphx         
99lstwra       machine=sonofphx         
9ballsh2       machine=9ballsht         
9ballsh3       machine=9ballsht         
9ballsht       machine=9ballsht         
a51mxr3k       machine=r3knarrow        
abaseb         machine=abaseb           
abaseb2        machine=abaseb           
ace            machine=ace              
aceattac       machine=shdancer         
acedrvrw       machine=namcos22         
acpsx          machine=zn               
acrobatm       machine=acrobatm         
aeroboto       machine=formatz          
aerofgt        machine=aerofgt          
aerofgtb       machine=aerofgtb         
aerofgtc       machine=aerofgtb         
ainferno       machine=airsys           
airbustj       machine=airbustr         
airbustr       machine=airbustr         
airco22b       machine=namcos22s        
airraid        machine=cshooter         
airwolf        machine=srdmissn         
akiss          machine=ms32             
akkanvdr       machine=f3_224a          
alcon          machine=slapfigh         
alien3         machine=system32         
alpham2        machine=neogeo           
alphaona       machine=alphaone         
alphaone       machine=alphaone         
alphaxz        machine=m660             
alpine         machine=nomcu            
alpinea        machine=nomcu            
alpinerc       machine=namcos22s        
alpinerd       machine=namcos22s        
ambush         machine=ambush           
ambusht        machine=ambush           
amerdart       machine=amerdart         
amidar         machine=amidar           
amidaro        machine=amidar           
amidars        machine=scramble         
amidaru        machine=amidar           
amigo          machine=amidar           
androdun       machine=neogeo           
andromed       machine=skychut          
angelkds       machine=angelkds         
anteater       machine=type1            
aodk           machine=neogeo           
aof            machine=neogeo           
aof2           machine=neogeo           
aof3           machine=neogeo           
aponow         machine=rescue           
apparel        machine=apparel          
appoooh        machine=appoooh          
aquajack       machine=aquajack         
aquajckj       machine=aquajack         
aquarush       machine=coh700           
arabfgt        machine=system32         
arabiamj       machine=f3_224a          
arabiamu       machine=f3_224a          
arabian        machine=arabian          
arabiana       machine=arabian          
arabianm       machine=f3_224a          
arbalest       machine=metafox          
arcadecl       machine=arcadecl         
arcadia        machine=nyny             
archriv2       machine=archrivl         
archrivl       machine=archrivl         
area51         machine=cojag68k         
area51mx       machine=cojag68k         
argus          machine=argus            
arkanoid       machine=arkanoid         
arkarea        machine=mnight           
arkatour       machine=arkanoid         
arkbl2         machine=arkanoid         
arknid2j       machine=arknoid2         
arknid2u       machine=arknoid2         
arknoid2       machine=arknoid2         
arknoidj       machine=arkanoid         
arknoidu       machine=arkanoid         
arknoiuo       machine=arkanoid         
arkretrn       machine=f3               
armorca2       machine=armorcar         
armorcar       machine=armorcar         
armwar         machine=cps2             
armwara        machine=cps2             
armwaru        machine=cps2             
ashnojoe       machine=ashnojoe         
ashura         machine=ashura           
ashurau        machine=ashura           
astdelu1       machine=astdelux         
astdelux       machine=astdelux         
asterock       machine=asterock         
asteroi1       machine=asteroid         
asteroib       machine=asteroid         
asteroid       machine=asteroid         
astorm         machine=astorm           
astorm2p       machine=astorm           
astormbl       machine=astorm           
astrofl        machine=segae            
atarifb        machine=atarifb          
atarifb1       machine=atarifb          
atarifb4       machine=atarifb4         
atehate        machine=atehate          
atetckt2       machine=atetris          
atetcktl       machine=atetris          
atetris        machine=atetris          
atetrisa       machine=atetris          
atetrisb       machine=atetris          
atlantis       machine=scramble         
atlants2       machine=scramble         
atomboy        machine=wilytowr         
atpsx          machine=zn               
avalnche       machine=avalnche         
avenger2       machine=avengers         
avengers       machine=avengers         
avsp           machine=cps2             
avspa          machine=cps2             
avspj          machine=cps2             
avspu          machine=cps2             
aztarac        machine=aztarac          
bagman         machine=bagman           
bagmans        machine=bagman           
bagmans2       machine=bagman           
bagnard        machine=bagman           
bakatono       machine=neogeo           
bakubrkr       machine=bakubrkr         
balcube        machine=balcube          
ballbomb       machine=ballbomb         
ballbros       machine=ballbros         
balonfgt       machine=vsdual           
bandido        machine=sheriff          
bangball       machine=bangball         
bangbead       machine=neogeo           
bangbedp       machine=neogeo           
bankp          machine=bankp            
barricad       machine=brickyrd         
barrier        machine=cinemat          
batcir         machine=cps2             
batcira        machine=cps2             
batcirj        machine=cps2             
batman         machine=batman           
battlcry       machine=reikaids         
battlera       machine=battlera         
battlex        machine=battlex          
battroad       machine=battroad         
batwings       machine=bwing            
bbakradu       machine=bbakraid         
bbakraid       machine=bbakraid         
bballs         machine=bballs           
bbbxing        machine=ms32             
bbonk          machine=bbonk            
bbprot         machine=bbprot           
bbusters       machine=bbusters         
bcrusher       machine=kncljoe          
bcruzm12       machine=bcruzm12         
beaminv        machine=beaminv          
beastrzb       machine=zn               
beastrzr       machine=zn               
beathead       machine=beathead         
beezer         machine=beezer           
beezer1        machine=beezer           
benberob       machine=benberob         
berlwall       machine=berlwall         
berlwalt       machine=berlwall         
bigbang        machine=tdragon2         
bigevglf       machine=bigevglf         
bigprowr       machine=tagteam          
bigtwin        machine=bigtwin          
bijokkog       machine=mbmj_p16bit_LCD  
bijokkoy       machine=mbmj_p16bit_LCD  
billiard       machine=hustler          
bioatack       machine=nomcu            
biofreak       machine=seattle150       
biomtoy        machine=maniacsq         
bioship        machine=bioship          
bishi          machine=bishi            
bjourney       machine=neogeo           
bjtwin         machine=bjtwin           
bking          machine=bking2           
bking2         machine=bking2           
bking3         machine=bking2           
bktigerb       machine=blktiger         
bladestl       machine=bladestl         
bladstle       machine=bladestl         
blandia        machine=blandia          
blandiap       machine=blandiap         
blasted        machine=xenophob         
blaster        machine=blaster          
blastkit       machine=blaster          
blazstar       machine=neogeo           
blckgalb       machine=blockgal         
bldwolf        machine=battlera         
blitz          machine=seattle150       
blitz2k        machine=seattle150       
blitz99        machine=seattle150       
blkbustr       machine=mrjong           
blkdrgnb       machine=blktiger         
blkdrgon       machine=blktiger         
blkhearj       machine=macross          
blkheart       machine=macross          
blktiger       machine=blktiger         
blmbycar       machine=blmbycar         
blmbycau       machine=blmbycar         
blockcar       machine=blockcar         
blocken        machine=blocken          
blockgal       machine=blockgal         
bloodbro       machine=bloodbro         
bloods11       machine=bloodstm         
bloods21       machine=bloodstm         
bloods22       machine=bloodstm         
bloodstm       machine=bloodstm         
bloodwar       machine=bloodwar         
bloxeed        machine=shdancer         
bloxeedc       machine=segac            
blsthead       machine=blstroid         
blstroi2       machine=blstroid         
blstroi3       machine=blstroid         
blstroid       machine=blstroid         
blstroig       machine=blstroid         
blueprnj       machine=blueprnt         
blueprnt       machine=blueprnt         
blueshrk       machine=blueshrk         
blzntrnd       machine=blzntrnd         
bm1stmix       machine=djmain           
bm2ndmix       machine=djmain           
bm2ndmxa       machine=djmain           
bm4thmix       machine=djmain           
bmcompmx       machine=djmain           
bmcorerm       machine=djmain           
bmdct          machine=djmain           
bnglngby       machine=vsnes            
bnj            machine=bnj              
bogeyman       machine=bogeyman         
boggy84        machine=jumpcoas         
bombjac2       machine=bombjack         
bombjack       machine=bombjack         
bonkadv        machine=bonkadv          
bonzeadu       machine=bonzeadv         
bonzeadv       machine=bonzeadv         
boomrang       machine=boomrang         
bootcamp       machine=combasc          
borench        machine=segac2           
bottom9        machine=bottom9          
bottom9n       machine=bottom9          
bounty         machine=percuss          
bowler         machine=bowler           
bowlrama       machine=bowlrama         
boxer          machine=boxer            
boxingb        machine=cincolor         
brain          machine=brain            
brapboys       machine=shogwarr         
brdrlinb       machine=4ports           
breakers       machine=neogeo           
breakrev       machine=neogeo           
brickyrd       machine=brickyrd         
brival         machine=sys32_hi         
brix           machine=jack             
brubber        machine=bnj              
brvblade       machine=zn               
bshark         machine=bshark           
bsharkj        machine=bshark           
bsktball       machine=bsktball         
bstars         machine=neogeo           
bstars2        machine=neogeo           
btime          machine=btime            
btime2         machine=btime            
btimem         machine=btime            
btlecity       machine=vsnes            
btlkroad       machine=gunbird          
btoads         machine=btoads           
bubblemj       machine=f3_224a          
bubbles        machine=williams         
bubblesp       machine=williams         
bubblesr       machine=williams         
bublbob2       machine=f3_224a          
bubsympe       machine=f3_224a          
bubsymph       machine=f3_224a          
bubsympu       machine=f3_224a          
buggychl       machine=buggychl         
buggycht       machine=buggychl         
bullfgt        machine=system1          
bullfgtr       machine=equites          
buraiken       machine=avengers         
burningf       machine=neogeo           
burningh       machine=neogeo           
butasan        machine=butasan          
bwidow         machine=bwidow           
bwing          machine=bwing            
bwings         machine=bwing            
cachat         machine=cachat           
cairblad       machine=sxyreact         
calibr50       machine=calibr50         
calipso        machine=calipso          
calspeed       machine=seattle150       
cameltrj       machine=cameltry         
cameltry       machine=cameltry         
camltrua       machine=camltrua         
canyon         machine=canyon           
canyonp        machine=canyon           
capbowl        machine=capbowl          
capbowl2       machine=capbowl          
caractn        machine=bnj              
carjmbre       machine=carjmbre         
carpolo        machine=carpolo          
castfant       machine=castfant         
catapult       machine=epos             
cavelon        machine=cavelon          
cavenger       machine=ladybug          
cbdash         machine=cbdash           
cbnj           machine=cbnj             
cbtime         machine=cbtime           
cburnrb2       machine=cburnrub         
cburnrub       machine=cburnrub         
ccasino        machine=ccasino          
ccastle2       machine=ccastles         
ccastle3       machine=ccastles         
ccastles       machine=ccastles         
cdiscon1       machine=cdiscon1         
centipb2       machine=centipb2         
centipd2       machine=centiped         
centipdb       machine=centipdb         
centiped       machine=centiped         
centtime       machine=centiped         
cexplore       machine=cexplore         
cfghtice       machine=cfghtice         
cflyball       machine=decocass         
cgraplop       machine=cgraplop         
cgraplp2       machine=cgraplop         
chaknpop       machine=chaknpop         
challeng       machine=gameplan         
chameleo       machine=chameleo         
champbas       machine=champbas         
champbb2       machine=champbas         
champbbj       machine=champbas         
champbja       machine=champbas         
champwr        machine=champwr          
champwrj       machine=champwr          
champwru       machine=champwr          
changes        machine=changes          
chasehq        machine=chasehq          
chasehqj       machine=chasehq          
chboxing       machine=sg1000a          
checkmaj       machine=checkmaj         
checkmat       machine=checkmat         
cheekyms       machine=cheekyms         
cheesech       machine=artmagic         
chindrag       machine=chindrag         
chinher2       machine=chinhero         
chinhero       machine=chinhero         
chplft         machine=chplft           
chplftb        machine=chplft           
chplftbl       machine=chplft           
chukatai       machine=tnzs             
chukataj       machine=tnzs             
chukatau       machine=tnzs             
chwrestl       machine=sg1000a          
chwy           machine=decocass         
circusc        machine=circusc          
circusc2       machine=circusc          
circuscc       machine=circusc          
circusce       machine=circusc          
citycon        machine=citycon          
citycona       machine=citycon          
citylove       machine=mbmj_h12bit      
ckongs         machine=ckongs           
clapapa        machine=clapapa          
clapapa2       machine=clapapa          
clayshoo       machine=clayshoo         
clbowl         machine=capbowl          
cleopatr       machine=f3_224a          
cloak          machine=cloak            
cloakfr        machine=cloak            
cloakgr        machine=cloak            
cloaksp        machine=cloak            
clocknch       machine=clocknch         
cloud9         machine=cloud9           
cltchitr       machine=shdancer         
cluckypo       machine=cluckypo         
cluclu         machine=vsnes            
cmissnx        machine=cmissnx          
cnights2       machine=cnightst         
cnightst       machine=cnightst         
colony7        machine=defender         
colony7a       machine=defender         
columns        machine=segac            
columns2       machine=segac            
columnsj       machine=segac            
combasc        machine=combasc          
combascb       machine=combascb         
combascj       machine=combasc          
combasct       machine=combasc          
commandj       machine=commando         
commando       machine=commando         
commandu       machine=commando         
commsega       machine=commsega         
compgolf       machine=compgolf         
complexx       machine=qix              
cookrace       machine=cookrace         
coolpool       machine=coolpool         
cop01          machine=cop01            
cop01a         machine=cop01            
copsnrob       machine=copsnrob         
cosmica        machine=cosmica          
cosmica2       machine=cosmica          
cosmos         machine=cvs              
cottong        machine=locomotn         
countrnb       machine=freekckb         
countrun       machine=freekckb         
cppicf         machine=cppicf           
cppicf2        machine=cppicf           
cprobowl       machine=cprobowl         
cprogolf       machine=cprogolf         
cprosocc       machine=cprosocc         
cptennis       machine=cptennis         
cpzn1          machine=zn               
cpzn2          machine=zn               
crash          machine=crash            
crater         machine=crater           
crazyblk       machine=mrjong           
crbalon2       machine=crbaloon         
crbaloon       machine=crbaloon         
crgolf         machine=crgolf           
crgolfa        machine=crgolf           
crgolfb        machine=crgolf           
crgolfc        machine=crgolf           
crimec         machine=crimec           
crimecj        machine=crimec           
crimecu        machine=crimec           
crospang       machine=crospang         
crshrac2       machine=crshrace         
crshrace       machine=crshrace         
crsword        machine=neogeo           
cruisin        machine=citycon          
crusnw13       machine=midvunit         
crusnw20       machine=midvunit         
crusnwld       machine=midvunit         
cryptklr       machine=konamigq         
crystal2       machine=crystalg         
crystalg       machine=crystalg         
crzrally       machine=crzrally         
csclub         machine=cps2             
cscluba        machine=cps2             
csclubh        machine=cps2             
csclubj        machine=cps2             
cscrtry        machine=cscrtry          
cscrtry2       machine=cscrtry          
cshift         machine=balsente         
cshooter       machine=cshooter         
cshootre       machine=cshooter         
cstlevna       machine=vsnes            
csuperas       machine=csuperas         
csweetht       machine=cdiscon1         
cterrani       machine=cterrani         
ctisland       machine=ctisland         
ctislnd2       machine=ctisland         
ctislnd3       machine=ctisland         
ctomaday       machine=neogeo           
ctornado       machine=ctornado         
ctsttape       machine=ctsttape         
cubybop        machine=cachat           
cupfinal       machine=f3_224a          
cupsoc         machine=cupsoc           
cupsoc2        machine=cupsoc           
cupsocbl       machine=cupsocbl         
curvebal       machine=gottlieb         
cvs            machine=cvs              
cyberb21       machine=cyberb2p         
cyberb22       machine=cyberb2p         
cyberb23       machine=cyberb2p         
cyberb2p       machine=cyberb2p         
cyberlip       machine=neogeo           
cybots         machine=cps2             
cybotsj        machine=cps2             
cybrcomm       machine=namcos22         
cybrcycc       machine=namcos22s        
cyclshtg       machine=cyclshtg         
cyvern         machine=skns             
czeroize       machine=decocass         
dadandrn       machine=dadandrn         
daioh          machine=daioh            
daireika       machine=jalmah           
dairesya       machine=ironhors         
daiskiss       machine=konamigx         
dakkochn       machine=chplft           
danceyes       machine=coh110_danceyes  
dankuga        machine=f3_224a          
daraku         machine=psikyo3v1        
darius         machine=darius           
dariuse        machine=darius           
dariusg        machine=f3               
dariusgj       machine=f3               
dariusgu       machine=f3               
dariusgx       machine=f3               
dariusj        machine=darius           
dariuso        machine=darius           
darkedge       machine=sys32_hi         
darkplnt       machine=darkplnt         
darkwar        machine=cvs              
dazzler        machine=cvs              
dblaxle        machine=dblaxle          
dbldyn         machine=dynduke          
dbzvrvs        machine=sys32_hi         
dcon           machine=dcon             
dday           machine=dday             
ddayc          machine=dday             
ddcrew         machine=shdancer         
ddonpach       machine=ddonpach         
ddonpchj       machine=ddonpach         
ddtod          machine=cps2             
ddtoda         machine=cps2             
ddtodh         machine=cps2             
ddtodj         machine=cps2             
ddtodu         machine=cps2             
ddtodur1       machine=cps2             
deadang        machine=deadang          
deadconj       machine=deadconj         
deadconx       machine=deadconx         
dealer         machine=dealer           
decocass       machine=decocass         
defndjeu       machine=defender         
deltrace       machine=omegrace         
demoderb       machine=demoderb         
demoderm       machine=mono_tcs         
demon          machine=demon            
demoneye       machine=demoneye         
desertgu       machine=desertgu         
desertwr       machine=ms32             
destroyr       machine=destroyr         
devilfsh       machine=devilfsh         
devzone        machine=devzone          
devzone2       machine=devzone          
dfeveron       machine=dfeveron         
dharma         machine=dharma           
diamond        machine=gng              
digger         machine=3ports           
dimahoo        machine=cps2             
dingo          machine=checkmaj         
dinorex        machine=dinorex          
dinorexj       machine=dinorex          
dinorexu       machine=dinorex          
disco          machine=disco            
discof         machine=disco            
diverboy       machine=diverboy         
djboy          machine=djboy            
dkong3         machine=dkong3           
dkong3j        machine=dkong3           
dlair          machine=dlair            
dleague        machine=dleague          
doapp          machine=zn               
docastl2       machine=docastle         
docastle       machine=docastle         
docastlo       machine=docastle         
dockman        machine=intrepid         
dodgem         machine=tinvader         
dogfgt         machine=dogfgt           
dogfgtj        machine=dogfgt           
dogfight       machine=zodiack          
domino         machine=mcr2             
dominos        machine=dominos          
dommy          machine=dommy            
dondenmj       machine=dondenmj         
dondokdj       machine=dondokod         
dondokdu       machine=dondokod         
dondokod       machine=dondokod         
donpachi       machine=donpachi         
donpachj       machine=donpachi         
donpachk       machine=donpachi         
dorachan       machine=dorachan         
dorodon        machine=ladybug          
dorodon2       machine=ladybug          
dorunru2       machine=dorunrun         
dorunruc       machine=docastle         
dorunrun       machine=dorunrun         
dotriku2       machine=dotrikun         
dotrikun       machine=dotrikun         
dotron         machine=dotron           
dotrona        machine=dotron           
dotrone        machine=dotron           
doubledr       machine=neogeo           
douni          machine=docastle         
dowild         machine=dorunrun         
downtown       machine=downtown         
dplay          machine=m4               
dragnblz       machine=psikyo5          
dragoonj       machine=dragoonj         
dragrace       machine=dragrace         
dragwld2       machine=pgm              
drgnmst        machine=drgnmst          
drgnunit       machine=drgnunit         
drgpunch       machine=sprtmtch         
dribling       machine=dribling         
driblino       machine=dribling         
drifto94       machine=drifto94         
driftout       machine=driftout         
drivedge       machine=drivedge         
driveout       machine=driveout         
drmario        machine=vsnes            
drmicro        machine=drmicro          
drtoppel       machine=drtoppel         
drtopplj       machine=drtoppel         
drtopplu       machine=drtoppel         
dstlk          machine=cps2             
dstlka         machine=cps2             
dstlku         machine=cps2             
dstlkur1       machine=cps2             
duckhunt       machine=vsnes            
dungenmu       machine=f3_224a          
dungeonm       machine=f3_224a          
dunkmnia       machine=coh110_danceyes  
dyger          machine=turtship         
dygera         machine=turtship         
dynamski       machine=dynamski         
dynduke        machine=dynduke          
dynobop        machine=slikshot         
eaglshot       machine=eaglshot         
eaglshta       machine=eaglshot         
ebases         machine=ebases           
ecofghta       machine=cps2             
ecofghtr       machine=cps2             
eggs           machine=scregg           
eggventr       machine=eggventr         
eggvntdx       machine=eggventr         
ehrgeiz        machine=coh700           
eightfrc       machine=eightfrc         
eightman       machine=neogeo           
einnings       machine=m4               
elecyoy2       machine=mcu              
elecyoyo       machine=mcu              
elevatob       machine=nomcu            
elevator       machine=mcu              
elvact2u       machine=f3               
elvactr        machine=f3               
elvactrj       machine=f3               
embargo        machine=embargo          
empcity        machine=stfight          
empcityj       machine=stfight          
endurob2       machine=endurob2         
endurobl       machine=enduror          
enduror        machine=enduror          
enigma2        machine=enigma2          
enigma2a       machine=enigma2a         
eprom          machine=eprom            
eprom2         machine=eprom            
equites        machine=equites          
equitess       machine=equites          
esb            machine=starwars         
espial         machine=espial           
espiale        machine=espial           
esprade        machine=esprade          
espradej       machine=esprade          
espradeo       machine=esprade          
euroch92       machine=footchmp         
evilston       machine=evilston         
excitbkj       machine=vsnes            
excitebk       machine=vsnes            
excthour       machine=matmania         
exctscc2       machine=exctsccr         
exctscca       machine=exctsccr         
exctsccb       machine=exctsccb         
exctsccr       machine=exctsccr         
exedexes       machine=exedexes         
exerion        machine=exerion          
exerionb       machine=exerion          
exeriont       machine=exerion          
exerizrb       machine=skyfox           
explorer       machine=explorer         
extdwnhl       machine=extdwnhl         
extrmatn       machine=arknoid2         
f1dream        machine=tigeroad         
f1dreamb       machine=tigeroad         
f1en           machine=system32         
f1gp           machine=f1gp             
f1gp2          machine=f1gp2            
f1lap          machine=system32         
f1superb       machine=ms32             
fantasia       machine=comad            
fantjour       machine=konamigx         
fantsia2       machine=fantsia2         
fantsy95       machine=comad            
fantzn2        machine=segae            
farwest        machine=farwest          
fastfred       machine=fastfred         
fastlane       machine=fastlane         
fatfursa       machine=neogeo           
fatfursp       machine=neogeo           
fatfury1       machine=neogeo           
fatfury2       machine=neogeo           
fatfury3       machine=neogeo           
fbfrenzy       machine=neogeo           
fcombat        machine=fcombat          
fgtlayer       machine=coh700           
fhawk          machine=fhawk            
fhawkj         machine=fhawk            
fieldday       machine=undoukai         
fightfev       machine=neogeo           
fightfva       machine=neogeo           
fightrol       machine=rollrace         
finalb         machine=finalb           
finalbj        machine=finalb           
finalizb       machine=finalizr         
finalizr       machine=finalizr         
findout        machine=findout          
fireone        machine=starfire         
firetrk        machine=firetrk          
fitfight       machine=fitfight         
fitter         machine=thepit           
fjbuster       machine=shogwarr         
flashgal       machine=flashgal         
flicky         machine=system1          
flickyo        machine=system1          
flipshot       machine=neogeo           
flstory        machine=flstory          
flstoryj       machine=flstory          
flyball        machine=flyball          
flyboy         machine=fastfred         
flyboyb        machine=fastfred         
fnkyfish       machine=kangaroo         
footchmp       machine=footchmp         
formatz        machine=formatz          
freekckb       machine=freekckb         
freekick       machine=freekckb         
freeze         machine=jack             
friskyt        machine=nvram            
friskyta       machine=nvram            
frogger        machine=frogger          
froggers       machine=froggers         
froggrmc       machine=froggrmc         
frogs          machine=2ports           
